A0A0H2VW18:['porin activity', 'ion transmembrane transport','colicin transmembrane transporter activity']
Q8XDF1:['porin activity', 'ion transmembrane transport']
A0A1T4JIK1:['porin activity', 'ion transmembrane transport']
A0A240BTW9:['porin activity', 'ion transmembrane transport']
A0A378CRK4:['porin activity', 'ion transmembrane transport']
A0A2P5GSU7:['porin activity', 'ion transmembrane transport']
A0A085AFL6:['porin activity', 'ion transmembrane transport']
A0A3R9QTM4:['porin activity', 'ion transmembrane transport']
A0A2X2EC46:['porin activity', 'ion transmembrane transport']
A0A370R3Q7:['porin activity', 'ion transmembrane transport']
A0A0J8VT97:['porin activity', 'ion transmembrane transport']
A0A0H3FX15:['porin activity', 'ion transmembrane transport']
A0A2S4MXM8:['porin activity', 'ion transmembrane transport']
A0A0F7HH26:['porin activity', 'ion transmembrane transport']
A0A2S9IAF8:['porin activity', 'ion transmembrane transport']
L0M3X5:['porin activity', 'ion transmembrane transport']
A0A2X2E5Z4:['porin activity', 'ion transmembrane transport']
D4E862:['porin activity', 'ion transmembrane transport']
Q6D452:['porin activity', 'ion transmembrane transport']
A0A2P8VNQ8:['porin activity', 'ion transmembrane transport']
W1ECT7:['porin activity', 'ion transmembrane transport']
A0A0H3GIV3:['porin activity', 'ion transmembrane transport']
A0A377Z3E3:['porin activity', 'ion transmembrane transport']
W1HWE9:['porin activity', 'ion transmembrane transport']
A0A0A2VTD8:['porin activity', 'ion transmembrane transport']
H5V7J6:['porin activity', 'ion transmembrane transport']
A0A495AJ92:['porin activity', 'ion transmembrane transport']
A0A1X1DEP7:['porin activity', 'ion transmembrane transport']
L0MA15:['porin activity', 'ion transmembrane transport']
S3ISD8:['porin activity', 'ion transmembrane transport']
A6TBT2:['porin activity', 'ion transmembrane transport']
A0A328TQ61:['porin activity', 'ion transmembrane transport']
S3J617:['porin activity', 'ion transmembrane transport']
A0A428LZL9:['porin activity', 'ion transmembrane transport']
A0A0U5GIZ4:['porin activity', 'ion transmembrane transport']
A0A0H3H0Y2:['porin activity', 'ion transmembrane transport']
A0A2N5ER09:['porin activity', 'ion transmembrane transport']
H2IPY3:['porin activity', 'ion transmembrane transport']
A0A2S9I7Z4:['porin activity', 'ion transmembrane transport']
A0A097R2P7:['porin activity', 'ion transmembrane transport']
A0A2P5INM4:['porin activity', 'ion transmembrane transport']
A0A428LX30:['porin activity', 'ion transmembrane transport']
W1DIX0:['porin activity', 'ion transmembrane transport']
U3TV23:['porin activity', 'ion transmembrane transport']
A0A097R1U1:['porin activity', 'ion transmembrane transport']
H5UXM6:['porin activity', 'ion transmembrane transport']
A0A2V1H6Y9:['porin activity', 'ion transmembrane transport']
A6T563:['porin activity', 'ion transmembrane transport']
A0A377ZHY9:['porin activity', 'ion transmembrane transport']
B2VC94:['porin activity', 'ion transmembrane transport']
A9MHV2:['porin activity', 'ion transmembrane transport']
A0A2X4TFL6:['porin activity', 'ion transmembrane transport']
A0A0A8VBQ2:['porin activity', 'ion transmembrane transport']
A0A090UZP8:['porin activity', 'ion transmembrane transport']
D4GDF3:['porin activity', 'ion transmembrane transport']
A0A4P8YQ35:['porin activity', 'ion transmembrane transport']
A0A085GIT1:['porin activity', 'ion transmembrane transport']
A0A2I0FX11:['porin activity', 'ion transmembrane transport']
A0A3N1J5Y6:['porin activity', 'ion transmembrane transport']
A0A0A2W5F6:['porin activity', 'ion transmembrane transport']
A0A1T4KI94:['porin activity', 'ion transmembrane transport']
Q32I16:['porin activity', 'ion transmembrane transport']
V5CVW0:['porin activity', 'ion transmembrane transport']
E3G8W4:['porin activity', 'ion transmembrane transport']
V5CTF0:['porin activity', 'ion transmembrane transport']
A0A090V5X7:['porin activity', 'ion transmembrane transport']
A0A250AXY4:['porin activity', 'ion transmembrane transport']
Q0WH04:['porin activity', 'ion transmembrane transport']
E3G8W7:['porin activity', 'ion transmembrane transport']
W1HXU7:['porin activity', 'ion transmembrane transport']
A0A370R4G8:['porin activity', 'ion transmembrane transport']
A6T8F6:['porin activity', 'ion transmembrane transport']
A0A0H3GMH3:['porin activity', 'ion transmembrane transport']
A0A083ZWA9:['porin activity', 'ion transmembrane transport']
A0A0J8VKM3:['porin activity', 'ion transmembrane transport']
A0A0L7TF48:['porin activity', 'ion transmembrane transport']
A0A2X3G6M0:['porin activity', 'ion transmembrane transport']
I2B7A9:['porin activity', 'ion transmembrane transport']
A0A3S4EV28:['porin activity', 'ion transmembrane transport']
A0A0V9J641:['porin activity', 'ion transmembrane transport']
E3GB94:['porin activity', 'ion transmembrane transport']
A0A2X3GKE3:['porin activity', 'ion transmembrane transport']
A0A085GKR2:['porin activity', 'ion transmembrane transport']
A0A427K818:['porin activity', 'ion transmembrane transport']
A9MJY7:['porin activity', 'ion transmembrane transport']
A0A0V9JLW3:['porin activity', 'ion transmembrane transport']
A0A2X4TR71:['porin activity', 'ion transmembrane transport']
A0A2X4TRA5:['porin activity', 'ion transmembrane transport']
A8AE00:['porin activity', 'ion transmembrane transport']
A9MRU8:['porin activity', 'ion transmembrane transport']
A0A0Q4MJN6:['porin activity', 'ion transmembrane transport']
A0A2P8VQ59:['porin activity', 'ion transmembrane transport']
A0A0Q4M8X8:['porin activity', 'ion transmembrane transport']
A0A2P5GWF0:['porin activity', 'ion transmembrane transport']
A0A2I0FSH2:['porin activity', 'ion transmembrane transport']
Q8ZPL4:['porin activity', 'ion transmembrane transport']
H2IS83:['porin activity', 'ion transmembrane transport']
B2VHM9:['porin activity', 'ion transmembrane transport']
E9CPN7:['porin activity', 'ion transmembrane transport']
A0A1W6BAZ8:['porin activity', 'ion transmembrane transport']
L0M380:['porin activity', 'ion transmembrane transport']
A0A0Q4NEP9:['porin activity', 'ion transmembrane transport']
A0A0H3FWS1:['porin activity', 'ion transmembrane transport']
S3JES1:['porin activity', 'ion transmembrane transport']
A0A097R278:['porin activity', 'ion transmembrane transport']
S3J6C9:['porin activity', 'ion transmembrane transport']
A0A085GJH5:['porin activity', 'ion transmembrane transport']
A0A1I4Y1W4:['porin activity', 'ion transmembrane transport']
A0A0H3G3Q4:['porin activity', 'ion transmembrane transport']
A0A090V0N1:['porin activity', 'ion transmembrane transport']
A0A370R467:['porin activity', 'ion transmembrane transport']
D2TK68:['porin activity', 'ion transmembrane transport']
A8AGE5:['porin activity', 'ion transmembrane transport']
Q8XAS0:['porin activity', 'ion transmembrane transport']
A0A090VV15:['porin activity', 'ion transmembrane transport']
A0A0H3G2Y3:['porin activity', 'ion transmembrane transport']
A0A250B1Z2:['porin activity', 'ion transmembrane transport']
D4E3T7:['porin activity', 'ion transmembrane transport']
A0A0H2UZR2:['porin activity', 'ion transmembrane transport']
A0A0F7D3B4:['porin activity', 'ion transmembrane transport']
D2TSC9:['porin activity', 'ion transmembrane transport']
A0A328TLF5:['porin activity', 'ion transmembrane transport']
A0A085JJ72:['porin activity', 'ion transmembrane transport']
A0A1X1CWP5:['porin activity', 'ion transmembrane transport']
A0A240C8I1:['porin activity', 'ion transmembrane transport']
A0A384KR45:['porin activity', 'ion transmembrane transport']
A0A2G8EBU1:['porin activity', 'ion transmembrane transport']
A0A2N5EPS6:['porin activity', 'ion transmembrane transport']
A0A0V9J701:['porin activity', 'ion transmembrane transport']
U3U3V6:['porin activity', 'ion transmembrane transport']
A0A1H3YJV9:['porin activity', 'ion transmembrane transport']
A0A0A5H8W3:['porin activity', 'ion transmembrane transport']
A0A1W6B1P5:['porin activity', 'ion transmembrane transport']
A0A2X3ECF2:['porin activity', 'ion transmembrane transport']
A0A1I4YK86:['porin activity', 'ion transmembrane transport']
A0A2X5BA00:['porin activity', 'ion transmembrane transport']
A0A4P8YQT9:['porin activity', 'ion transmembrane transport']
A0A443IAX9:['porin activity', 'ion transmembrane transport']
D2TNV1:['porin activity', 'ion transmembrane transport']
A0A0U5GPI3:['porin activity', 'ion transmembrane transport']
A0A0J8VM46:['porin activity', 'ion transmembrane transport']
A0A378BH83:['porin activity', 'ion transmembrane transport']
W1HZG0:['porin activity', 'ion transmembrane transport']
A0A0H3GVL2:['porin activity', 'ion transmembrane transport']
W1DR23:['porin activity', 'ion transmembrane transport']
W1ERG5:['porin activity', 'ion transmembrane transport']
G7LN33:['porin activity', 'ion transmembrane transport']
L0M9R4:['porin activity', 'ion transmembrane transport']
A0A071LSU8:['porin activity', 'ion transmembrane transport']
A6TB82:['porin activity', 'ion transmembrane transport']
A0A2S9IG03:['porin activity', 'ion transmembrane transport']
H5V5C1:['porin activity', 'ion transmembrane transport']
I2BBC3:['porin activity', 'ion transmembrane transport']
A0A0G3QFL6:['porin activity', 'ion transmembrane transport']
A0A0Q4MXA7:['porin activity', 'ion transmembrane transport']
A0A085U893:['porin activity', 'ion transmembrane transport']
W1HWE2:['porin activity', 'ion transmembrane transport']
A0A085AFX2:['porin activity', 'ion transmembrane transport']
D4GKU1:['porin activity', 'ion transmembrane transport']
A8AF63:['porin activity', 'ion transmembrane transport']
D8MRC9:['porin activity', 'ion transmembrane transport']
A0A2P8VKR8:['porin activity', 'ion transmembrane transport']
A0A2I5T7H6:['porin activity', 'ion transmembrane transport']
A0A2I0FXI1:['porin activity', 'ion transmembrane transport']
A0A4C1UGR8:['porin activity', 'ion transmembrane transport']
A0A2A7U3B0:['porin activity', 'ion transmembrane transport']
A0A427KB24:['porin activity', 'ion transmembrane transport']
A0A2P5GUX4:['porin activity', 'ion transmembrane transport']
A0A1T4MEB9:['porin activity', 'ion transmembrane transport']
A0A014NMV3:['porin activity', 'ion transmembrane transport']
A0A2I5TJN1:['porin activity', 'ion transmembrane transport']
A0A085GC44:['porin activity', 'ion transmembrane transport']
D8MUQ4:['porin activity', 'ion transmembrane transport']
L0M7U5:['porin activity', 'ion transmembrane transport']
E3G1A1:['porin activity', 'ion transmembrane transport']
A0A2C6DSA9:['porin activity', 'ion transmembrane transport']
B2VIM3:['porin activity', 'ion transmembrane transport']
A0A071LRT9:['porin activity', 'ion transmembrane transport']
D4GIN5:['porin activity', 'ion transmembrane transport']
A0A0L7T3J1:['porin activity', 'ion transmembrane transport']
A0A0F0VIV7:['porin activity', 'ion transmembrane transport']
A0A071LVA1:['porin activity', 'ion transmembrane transport']
Q7N624:['porin activity', 'ion transmembrane transport']
A0A2X4TKV1:['porin activity', 'ion transmembrane transport']
Q8ZNS7:['porin activity', 'ion transmembrane transport']
A0A4R1NA60:['porin activity', 'ion transmembrane transport']
A0A0F7H7S6:['porin activity', 'ion transmembrane transport']
A0A095UCV4:['porin activity', 'ion transmembrane transport']
A0A085G9K3:['porin activity', 'ion transmembrane transport']
A0A2C5V1X6:['porin activity', 'ion transmembrane transport']
A0A2X2E493:['porin activity', 'ion transmembrane transport']
A0A085JH53:['porin activity', 'ion transmembrane transport']
H2IPT8:['porin activity', 'ion transmembrane transport']
D8MR13:['porin activity', 'ion transmembrane transport']
B2VJY1:['porin activity', 'ion transmembrane transport']
D2TI85:['porin activity', 'ion transmembrane transport']
H5UX12:['porin activity', 'ion transmembrane transport']
W1HX06:['porin activity', 'ion transmembrane transport']
A0A378DHK5:['porin activity', 'ion transmembrane transport']
H2J293:['porin activity', 'ion transmembrane transport']
D3UWV0:['porin activity', 'ion transmembrane transport']
Q8ZPH7:['porin activity', 'ion transmembrane transport']
T0P6E9:['porin activity', 'ion transmembrane transport']
A0A0H3FYJ7:['porin activity', 'ion transmembrane transport']
A0A085HKZ0:['porin activity', 'ion transmembrane transport']
T1HDE7:['porin activity', 'ion transmembrane transport']
A0A2X3GGE1:['porin activity', 'ion transmembrane transport']
A0A0G4K211:['porin activity', 'ion transmembrane transport']
E3G201:['porin activity', 'ion transmembrane transport']
A0A085GGU6:['porin activity', 'ion transmembrane transport']
A0A0J8VL99:['porin activity', 'ion transmembrane transport']
A0A085G137:['porin activity', 'ion transmembrane transport']
H5V0V2:['porin activity', 'ion transmembrane transport']
A0A0Q4MD10:['porin activity', 'ion transmembrane transport']
A0A366I552:['porin activity', 'ion transmembrane transport']
A0A097R5Q1:['porin activity', 'ion transmembrane transport']
A0A0G3CPE5:['porin activity', 'ion transmembrane transport']
L0M2Z7:['porin activity', 'ion transmembrane transport']
A0A4C1WHJ7:['porin activity', 'ion transmembrane transport']
A0A0G3Q848:['porin activity', 'ion transmembrane transport']
A0A1N6MZN8:['porin activity', 'ion transmembrane transport']
E0SGW8:['porin activity', 'ion transmembrane transport']
D3V0Z8:['porin activity', 'ion transmembrane transport']
J7U395:['porin activity', 'ion transmembrane transport']
A0A0U5GLQ0:['porin activity', 'ion transmembrane transport']
W1J9P0:['porin activity', 'ion transmembrane transport']
A0A0M2KD93:['porin activity', 'ion transmembrane transport']
E0SGW9:['porin activity', 'ion transmembrane transport']
A0A085ASL3:['porin activity', 'ion transmembrane transport']
A0A2G0QB53:['porin activity', 'ion transmembrane transport']
A0A4R1NHY7:['porin activity', 'ion transmembrane transport']
A0A068QP00:['porin activity', 'ion transmembrane transport']
K8WD21:['porin activity', 'ion transmembrane transport']
A0A2P5GUE8:['porin activity', 'ion transmembrane transport']
W1DHW3:['porin activity', 'ion transmembrane transport']
A0A428LY28:['porin activity', 'ion transmembrane transport']
A0A085HKY9:['porin activity', 'ion transmembrane transport']
A0A140NQ63:['porin activity', 'ion transmembrane transport']
A0A068QTZ1:['porin activity', 'ion transmembrane transport']
A0A068R6U4:['porin activity', 'ion transmembrane transport']
W1IVX4:['porin activity', 'ion transmembrane transport']
A0A198FF51:['porin activity', 'ion transmembrane transport']
A0A095TDS6:['porin activity', 'ion transmembrane transport']
A0A2X3DUF1:['porin activity', 'ion transmembrane transport']
W0HRR1:['porin activity', 'ion transmembrane transport']
A0A2Y9U1V7:['porin activity', 'ion transmembrane transport']
W1JBF5:['porin activity', 'ion transmembrane transport']
A0A0N0Z7J0:['porin activity', 'ion transmembrane transport']
A0A095VB41:['porin activity', 'ion transmembrane transport']
Q7N623:['porin activity', 'ion transmembrane transport']
A0A2A7U5I4:['porin activity', 'ion transmembrane transport']
J7UBJ6:['porin activity', 'ion transmembrane transport']
W0HQH4:['porin activity', 'ion transmembrane transport']
D1NZZ2:['porin activity', 'ion transmembrane transport']
A0A4R1NI79:['porin activity', 'ion transmembrane transport']
A0A1B7K0L2:['porin activity', 'ion transmembrane transport']
A0A097R231:['porin activity', 'ion transmembrane transport']
A0A2G0Q8K4:['porin activity', 'ion transmembrane transport']
A0A068R6J9:['porin activity', 'ion transmembrane transport']
D3VB30:['porin activity', 'ion transmembrane transport']
A0A0J8YTX0:['porin activity', 'ion transmembrane transport']
A0A2Y9U217:['porin activity', 'ion transmembrane transport']
A0A0F7HHM2:['porin activity', 'ion transmembrane transport']
A0A071M417:['porin activity', 'ion transmembrane transport']
A0A0Q4MD57:['porin activity', 'ion transmembrane transport']
C4K8G0:['porin activity', 'ion transmembrane transport']
Q83R77:['porin activity', 'ion transmembrane transport']
A0A4P7KS14:['porin activity', 'ion transmembrane transport']
W1EGN2:['porin activity', 'ion transmembrane transport']
A0A0F7HFC1:['porin activity', 'ion transmembrane transport']
A6T721:['porin activity', 'ion transmembrane transport']
A0A2A2GVM2:['porin activity', 'ion transmembrane transport']
Q2NSM2:['porin activity', 'ion transmembrane transport']
A0A085HI51:['porin activity', 'ion transmembrane transport']
W1IXX0:['porin activity', 'ion transmembrane transport']
A0A2Y9TWT0:['porin activity', 'ion transmembrane transport']
E3G157:['porin activity', 'ion transmembrane transport']
E3G8Y1:['porin activity', 'ion transmembrane transport']
A0A2C6C022:['porin activity', 'ion transmembrane transport']
A0A140NKJ2:['porin activity', 'ion transmembrane transport']
A0A1N6N1F5:['porin activity', 'ion transmembrane transport']
A0A0G3CRA9:['porin activity', 'ion transmembrane transport']
A0A085A7N9:['porin activity', 'ion transmembrane transport']
A0A0H3FR58:['porin activity', 'ion transmembrane transport']
A0A1T4RDG5:['porin activity', 'ion transmembrane transport']
D4GDC2:['porin activity', 'ion transmembrane transport']
A0A1X1CVJ4:['porin activity', 'ion transmembrane transport']
E0SGX3:['porin activity', 'ion transmembrane transport']
A0A2P5GVM7:['porin activity', 'ion transmembrane transport']
A0A4R3Z4Z8:['porin activity', 'ion transmembrane transport']
D1NYR7:['porin activity', 'ion transmembrane transport']
A0A447M4W5:['porin activity', 'ion transmembrane transport']
W0LF27:['porin activity', 'ion transmembrane transport']
A0A4P7KWG7:['porin activity', 'ion transmembrane transport']
A0A242P9W1:['porin activity', 'ion transmembrane transport']
U3TYR7:['porin activity', 'ion transmembrane transport']
A0A0H2V0C9:['porin activity', 'ion transmembrane transport']
Q83J66:['porin activity', 'ion transmembrane transport']
A0A0C4FE13:['porin activity', 'ion transmembrane transport']
F7XXD3:['porin activity', 'ion transmembrane transport']
A0A495RBD6:['porin activity', 'ion transmembrane transport']
W1DST8:['porin activity', 'ion transmembrane transport']
A0A378BPY2:['porin activity', 'ion transmembrane transport']
A0A2A7TYL4:['porin activity', 'ion transmembrane transport']
A0A085ADC9:['porin activity', 'ion transmembrane transport']
R8AUM0:['porin activity', 'ion transmembrane transport']
A0A1I0BAK1:['porin activity', 'ion transmembrane transport']
A0A1I0DXZ7:['porin activity', 'ion transmembrane transport']
A0A447M2S2:['porin activity', 'ion transmembrane transport']
W1EJP5:['porin activity', 'ion transmembrane transport']
R8AUP5:['porin activity', 'ion transmembrane transport']
U3TXP0:['porin activity', 'ion transmembrane transport']
A0A378CRL9:['porin activity', 'ion transmembrane transport']
A0A0A7S8P9:['porin activity', 'ion transmembrane transport']
Q7VRX0:['porin activity', 'ion transmembrane transport']
W1DKD6:['porin activity', 'ion transmembrane transport']
A0A0H3GL34:['porin activity', 'ion transmembrane transport']
A0A085JPX7:['porin activity', 'ion transmembrane transport']
R8AUX1:['porin activity', 'ion transmembrane transport']
A0A250B6N4:['porin activity', 'ion transmembrane transport']
A0A242P903:['porin activity', 'ion transmembrane transport']
A0A0J8YH81:['porin activity', 'ion transmembrane transport']
A0A085AD66:['porin activity', 'ion transmembrane transport']
A0A4P7KYH9:['porin activity', 'ion transmembrane transport']
A0A1H9ZJQ5:['porin activity', 'ion transmembrane transport']
A0A1I0G5C2:['porin activity', 'ion transmembrane transport']
A0A447M527:['porin activity', 'ion transmembrane transport']
A0A0J8YPR9:['porin activity', 'ion transmembrane transport']
A0A0H3GR18:['porin activity', 'ion transmembrane transport']
A0KGK5:['porin activity', 'ion transmembrane transport']
A0A0S2SEF1:['porin activity', 'ion transmembrane transport']
A0A378DKA1:['porin activity', 'ion transmembrane transport']
A0A378CPW8:['porin activity', 'ion transmembrane transport']
R1H2T9:['porin activity', 'ion transmembrane transport']
W1DHP9:['porin activity', 'ion transmembrane transport']
W1DQ52:['porin activity', 'ion transmembrane transport']
A0A3S4EXQ8:['porin activity', 'ion transmembrane transport']
A0A0J8YIY4:['porin activity', 'ion transmembrane transport']
U3TTE9:['porin activity', 'ion transmembrane transport']
A0A378EGX1:['porin activity', 'ion transmembrane transport']
A0A378EIT1:['porin activity', 'ion transmembrane transport']
Q32FX1:['porin activity', 'ion transmembrane transport']
A0A3S4E4F1:['porin activity', 'ion transmembrane transport']
A0A378DKB5:['porin activity', 'ion transmembrane transport']
A0A0F5VFS5:['porin activity', 'ion transmembrane transport']
W1EHV6:['porin activity', 'ion transmembrane transport']
A0A447M6U8:['porin activity', 'ion transmembrane transport']
U3TQA6:['porin activity', 'ion transmembrane transport']
A0A418YBU2:['porin activity', 'ion transmembrane transport']
A0A0W7TXQ7:['porin activity', 'ion transmembrane transport']
Q6LGT1:['porin activity', 'ion transmembrane transport']
A0A2N7DEF5:['porin activity', 'ion transmembrane transport']
A0A090KC92:['porin activity', 'ion transmembrane transport']
A0A3S4GBF2:['porin activity', 'ion transmembrane transport']
A0A378BMU0:['porin activity', 'ion transmembrane transport']
A9MMI1:['porin activity', 'ion transmembrane transport']
A0A377ZA07:['porin activity', 'ion transmembrane transport']
D4G806:['porin activity', 'ion transmembrane transport']
A0A2X4T6Y4:['porin activity', 'ion transmembrane transport']
A0A0J7JXL9:['porin activity', 'ion transmembrane transport']
E3BM71:['porin activity', 'ion transmembrane transport']
F9RAK4:['porin activity', 'ion transmembrane transport']
A0A1B9QVH9:['porin activity', 'ion transmembrane transport']
A0A2N7DEF0:['porin activity', 'ion transmembrane transport']
A0A081N419:['porin activity', 'ion transmembrane transport']
R9PJ53:['porin activity', 'ion transmembrane transport']
U3A3G4:['porin activity', 'ion transmembrane transport']
A0A090T9M1:['porin activity', 'ion transmembrane transport']
A0A380U1W0:['porin activity', 'ion transmembrane transport']
A0A233RHN3:['porin activity', 'ion transmembrane transport']
R1H528:['porin activity', 'ion transmembrane transport']
A0A2N7DEF6:['porin activity', 'ion transmembrane transport']
A0A090P242:['porin activity', 'ion transmembrane transport']
A0A378EJL3:['porin activity', 'ion transmembrane transport']
A0A2N1A5Y5:['porin activity', 'ion transmembrane transport']
R9PFB7:['porin activity', 'ion transmembrane transport']
Q5E7M6:['porin activity', 'evasion or tolerance of host defenses']
R9PJ28:['porin activity', 'ion transmembrane transport']
A0A1A8T5E1:['porin activity', 'ion transmembrane transport']
A0A366W6T7:['porin activity', 'ion transmembrane transport']
A0A2N1A3H3:['porin activity', 'ion transmembrane transport']
A0A090TBM6:['porin activity', 'ion transmembrane transport']
A0A2N7DBK1:['porin activity', 'ion transmembrane transport']
A0A3R9EGD4:['porin activity', 'ion transmembrane transport']
A0A1J4QBS5:['porin activity', 'ion transmembrane transport']
A0A3E0DSQ1:['porin activity', 'ion transmembrane transport']
A0A377ZA38:['porin activity', 'ion transmembrane transport']
A0KLY9:['porin activity', 'ion transmembrane transport']
A0A2N0GBD6:['porin activity', 'ion transmembrane transport']
A0A377Z927:['porin activity', 'ion transmembrane transport']
A0A178KPR9:['porin activity', 'ion transmembrane transport']
F9R9P6:['porin activity', 'ion transmembrane transport']
A0A2X0VBJ7:['porin activity', 'ion transmembrane transport']
A0A090R8Y0:['porin activity', 'ion transmembrane transport']
A0A0W7U5K6:['porin activity', 'ion transmembrane transport']
D0YX18:['porin activity', 'ion transmembrane transport']
E8LI88:['porin activity', 'ion transmembrane transport']
A0A4R1KYC8:['porin activity', 'ion transmembrane transport']
A0A081NDF6:['porin activity', 'ion transmembrane transport']
A1T0N1:['porin activity', 'ion transmembrane transport']
A0A2X4TWE1:['porin activity', 'ion transmembrane transport']
C9P859:['porin activity', 'ion transmembrane transport']
A0A1Y0CV29:['porin activity', 'ion transmembrane transport']
A0A4R1J940:['porin activity', 'ion transmembrane transport']
A0A2X0V6X3:['porin activity', 'ion transmembrane transport']
A0A1A6L3L1:['porin activity', 'ion transmembrane transport']
A0A3M6QX92:['porin activity', 'ion transmembrane transport']
A0A090P7F6:['porin activity', 'ion transmembrane transport']
A0A3S4E436:['porin activity', 'ion transmembrane transport']
E8LI89:['porin activity', 'ion transmembrane transport']
A0A263HG92:['porin activity', 'ion transmembrane transport']
A0A1I1GX92:['porin activity', 'ion transmembrane transport']
